category_name,category_details
Fruits,"Apples, bananas,  grapes, oranges, strawberries, avocados, peaches, etc."
Vegatables,"Potatoes, onions, carrots, salad greens, broccoli, peppers, tomatoes, cucumbers, etc"
Canned Goods,"Soup, tuna, fruit, beans, vegetables, pasta sauce, etc"
Dairy,"Butter, cheese, eggs, milk, yogurt, etc"
Meat,"Chicken, beef, pork, sausage, bacon etc."
Fish & Seafood,"Shrimp, crab, cod, tuna, salmon, etc"
Deli,"Cheese, salami, ham, turkey, etc."
Condiments & Spices,"Black pepper, oregano, cinnamon, sugar, olive oil, ketchup, mayonnaise, etc"
Snacks,"Chips, pretzels, popcorn, crackers, nuts, etc"
Bread & Bakery,"Bread, tortillas, pies, muffins, bagels, cookies, etc."
Beverages,"Coffee, teabags, milk, juice, soda, beer, wine, etc."
Pasta, Rice & Cereal,"Oats, granola, brown rice, white rice, macaroni, noodles, etc."
Baking,"Flour, powdered sugar, baking powder, cocoa etc."
Frozen Foods,"Pizza, fish, potatoes, ready meals, ice cream, etc."
Personal Care,"Shampoo, conditioner, deodorant, toothpaste, dental floss, etc."
Health Care,"Saline, band-aid, cleaning alcohol, pain killers, antacids, etc."
Household & Cleaning Supplies,"Laundry detergent, dish soap, dishwashing liquid, paper towels, tissues, trash bags, aluminum foil, zip bags, etc."
Baby Items,"Baby food, diapers, wet wipes, lotion, etc."
Pet Care,"Pet food, kitty litter, chew toys, pet treats, pet shampoo, etc."
